Compartment_id	Transect_id	Plot	species_id	abundance_count	abundance_percent	Species_Name	Species_Family
204	69	0	1	5	0	Albizia gumiifera	Leguminosae
204	69	0	5	1	0	Diospyros abyssinica	Ebenaceae
204	69	0	6	3	0	Bilghia usolanumnijugata	Sapindaceae
204	69	0	2	7	0	Celtis mildbreadii	Ulmaceae
204	69	0	3	3	0	Celtis ducrandii	Ulmaceae
204	69	0	8	1	0	Markhamia lutea	Bignoniaceae
204	0	0	9	1	0	Funtumia elastica	Apocynaceae
204	69	1	5	1	0	Diospyros abyssinica	Ebenaceae
204	69	1	10	0	50	Dracaena fragrans	Asparagaceae
204	69	1	11	0	10	Pseudoranthemum ludovicianum	Acanthaceae
204	69	1	12	1	0	Citropsis articulata	Rutaceae
204	69	2	12	1	0	Citropsis articulata	Rutaceae
204	69	2	11	0	30	Pseudoranthemum ludovicianum	Acanthaceae
204	69	2	10	0	20	Dracaena fragrans	Asparagaceae
204	69	2	13	1	0	Entandophragma sp	Meliaceae
204	69	3	10	0	40	Dracaena fragrans	Asparagaceae
204	69	3	11	0	5	Pseudoranthemum ludovicianum	Acanthaceae
204	69	3	14	1	0	Teclea nobilis	Rutaceae
204	69	3	1	2	0	Albizia gumiifera	Leguminosae
204	69	3	15	2	0	Argomuellera macrophylla	Euphobiaceae
204	69	3	16	0	1	Culcasia falcifolia	Araceae
204	69	4	17	0	10	Acalypha neptunica	Euphobiaceae
204	69	4	10	0	50	Dracaena fragrans	Asparagaceae
204	69	4	18	1	0	Unknown climber	
204	69	4	11	0	5	Pseudoranthemum ludovicianum	Acanthaceae
204	69	5	11	0	20	Pseudoranthemum ludovicianum	Acanthaceae
204	69	5	10	0	5	Dracaena fragrans	Asparagaceae
204	69	5	17	0	30	Acalypha neptunica	Euphobiaceae
204	69	5	15	3	0	Argomuellera macrophylla	Euphobiaceae
204	69	5	12	1	0	Citropsis articulata	Rutaceae
204	69	6	17	0	20	Acalypha neptunica	Euphobiaceae
204	69	6	10	0	10	Dracaena fragrans	Asparagaceae
204	69	6	11	0	10	Pseudoranthemum ludovicianum	Acanthaceae
204	68	0	1	5	0	Albizia gumiifera	Leguminosae
204	68	0	7	4	0	Celtis durandii	Ulmaceae
204	68	0	9	1	0	Funtumia elastica	Apocynaceae
204	68	0	5	2	0	Diospyros abyssinica	Ebenaceae
204	68	1	9	4	0	Funtumia elastica	Apocynaceae
204	68	0	8	1	0	Markhamia lutea	Bignoniaceae
204	68	0	7	3	0	Celtis durandii	Ulmaceae
204	68	1	17	0	10	Acalypha neptunica	Euphobiaceae
204	68	1	10	0	30	Dracaena fragrans	Asparagaceae
204	68	1	11	0	10	Pseudoranthemum ludovicianum	Acanthaceae
204	68	1	13	1	0	Entandophragma sp	Meliaceae
204	68	1	173	1	0	Monanthotaxi ferruginea	Annonaceae
204	68	2	10	0	40	Dracaena fragrans	Asparagaceae
204	68	2	1	1	0	Albizia gumiifera	Leguminosae
204	68	2	17	0	5	Acalypha neptunica	Euphobiaceae
204	68	3	10	0	60	Dracaena fragrans	Asparagaceae
204	68	3	11	0	5	Pseudoranthemum ludovicianum	Acanthaceae
204	68	3	17	0	2	Acalypha neptunica	Euphobiaceae
204	68	3	16	0	1	Culcasia falcifolia	Araceae
204	68	3	25	1	0	Celtis wightii	Ulmaceae
204	68	3	55	1	0	Asplenium	
204	68	4	11	0	5	Pseudoranthemum ludovicianum	Acanthaceae
204	68	4	10	0	40	Dracaena fragrans	Asparagaceae
204	68	4	17	0	5	Acalypha neptunica	Euphobiaceae
204	68	5	17	0	30	Acalypha neptunica	Euphobiaceae
204	68	5	11	0	20	Pseudoranthemum ludovicianum	Acanthaceae
204	68	5	16	0	1	Culcasia falcifolia	Araceae
204	68	5	1	1	0	Albizia gumiifera	Leguminosae
204	68	5	6	1	0	Bilghia unijugata	Sapindaceae
204	68	5	15	3	0	Argomuellera macrophylla	Euphobiaceae
204	68	5	44	1	0	Kigeria africana	Bignonaceae
205	36	0	5	3	0	Diospyros abyssinica	Ebenaceae
205	36	0	28	1	0	Spathodea campanulata	Bignoniaceae
205	36	0	44	5	0	Kigeria africana	Bignonaceae
205	36	0	19	1	0	Albizia grandibracteata	Leguminosae
205	36	0	29	1	0	Pachystela brevipes	Sapotaceae
205	36	1	37	5	0	Pulsota sp	
205	36	1	35	0	10	Leptapsis sp	
205	36	1	11	0	30	Pseudoranthemum ludovicianum	Acanthaceae
205	36	1	17	0	1	Acalypha neptunica	Euphobiaceae
205	36	1	78	0	2	Aframomum mildbraedii	Zingiberaceae
205	36	1	63	1	0	Coffee	Rubiaceae
205	36	1	26	1	0	Tabernaemontana holstii	Apocynaceae
205	36	2	38	0	2	Pteris burtoni	Pteridaceae
205	36	2	11	0	20	Pseudoranthemum ludovicianum	Acanthaceae
205	36	2	37	5	0	Pulsota sp	
205	36	2	35	0	5	Leptapsis sp	
205	36	3	11	0	50	Pseudoranthemum ludovicianum	Acanthaceae
205	36	3	31	0	1	Maranthacloa lutea	Marantaceae
205	36	4	11	0	50	Pseudoranthemum ludovicianum	Acanthaceae
205	36	4	17	0	20	Acalypha neptunica	Euphobiaceae
205	36	4	94	0	1	Maranthocloa purpulea	Marantaceae
205	36	4	37	5	0	Pulsota sp	
205	36	4	38	0	1	Pteris burtoni	Pteridaceae
205	36	3	38	0	2	Pteris burtoni	Pteridaceae
205	36	5	35	0	20	Leptapsis sp	
205	36	5	38	0	5	Pteris burtoni	Pteridaceae
205	36	5	11	0	10	Pseudoranthemum ludovicianum	Acanthaceae
205	36	5	37	3	0	Pulsota sp	
205	36	5	13	1	0	Entandophragma sp	Meliaceae
205	36	6	13	1	0	Entandophragma sp	Meliaceae
205	36	6	10	0	5	Dracaena fragrans	Asparagaceae
205	36	6	11	0	20	Pseudoranthemum ludovicianum	Acanthaceae
205	36	6	51	1	0	Khaya anthotheca	Meliaceae
205	36	6	35	1	0	Leptapsis sp	
205	37	0	19	4	0	Albizia grandibracteata	Leguminosae
205	37	0	30	1	0	Canarium schweinfurthii	Burseraceae
205	37	0	22	1	0	Ficus mucuso	Moraceae
205	37	1	35	0	50	Leptapsis sp	
205	37	1	63	0	2	Coffee	Rubiaceae
205	37	1	17	1	0	Acalypha neptunica	Euphobiaceae
205	37	1	67	2	0	Ficus asperifolia	Moraceae
205	37	1	13	2	0	Entandophragma sp	Meliaceae
205	37	1	173	1	0	Monanthotaxi ferruginea	Annonaceae
205	37	2	35	0	20	Leptapsis sp	
205	37	2	63	0	5	Coffee	Rubiaceae
205	37	2	13	3	0	Entandophragma sp	Meliaceae
205	37	2	67	0	2	Ficus asperifolia	Moraceae
205	37	3	35	0	50	Leptapsis sp	
205	37	3	63	0	3	Coffee	Rubiaceae
205	37	3	19	2	0	Albizia grandibracteata	Leguminosae
205	37	3	90	1	0	Macaranga angolensis	Euphorbiaceae
205	37	4	37	1	0	Pulsota sp	
205	37	4	26	1	0	Tabernaemontana holstii	Apocynaceae
205	37	4	35	0	40	Leptapsis sp	
205	37	4	63	0	2	Coffee	Rubiaceae
205	37	4	79	1	0	Khaya mahogany 7	Meliaceae
205	37	5	218	1	0	Monanthotaxis littoralis	Annonaceae
205	37	5	63	0	2	Coffee	Rubiaceae
205	37	5	35	0	30	Leptapsis sp	
205	37	5	13	2	0	Entandophragma sp	Meliaceae
205	37	5	14	1	0	Teclea nobilis	Rutaceae
206	27	0	1	2	0	Albizia gumiifera	Leguminosae
206	27	0	6	1	0	Bilghia unijugata	Sapindaceae
206	27	0	44	3	0	Kigeria africana	Bignonaceae
206	27	0	39	2	0	Cordia africana	Boraginaceae
206	27	0	25	1	0	Celtis wightii	Ulmaceae
206	27	0	27	1	0	Myrianthus holstii	Moraceae
206	27	0	9	1	0	Funtumia elastica	Apocynaceae
206	27	0	2	1	0	Celtis mildbreadii	Ulmaceae
206	27	0	43	1	0	Croton macrophyallus	Euphorbiaceae
206	27	0	54	1	0	Euphorbia teke	Euphorbiaceae
206	27	0	4	1	0	Malnilkara dawei	Sapotaceae
206	27	1	15	0	10	Argomuellera macrophylla	Euphobiaceae
206	27	1	11	0	30	Pseudoranthemum ludovicianum	Acanthaceae
206	27	1	37	1	0	Pulsota sp	
206	27	1	45	1	0	Pollia condensata	Commelinaceae
206	27	1	85	1	0	Reneria congrana	
206	27	1	17	0	10	Acalypha neptunica	Euphobiaceae
206	27	1	86	2	0	Rubiaceae	Rubiaceae
206	27	1	54	1	0	Euphorbia teke	Euphorbiaceae
206	27	1	55	0	2	Asplenium	
206	27	1	10	0	5	Dracaena fragrans	Asparagaceae
206	27	2	25	1	0	Celtis wightii	Ulmaceae
206	27	2	15	0	5	Argomuellera macrophylla	Euphobiaceae
206	27	2	10	0	10	Dracaena fragrans	Asparagaceae
206	27	2	86	0	1	Rubiaceae	Rubiaceae
206	27	2	45	1	0	Pollia condensata	Commelinaceae
206	27	2	16	1	0	Culcasia falcifolia	Araceae
206	27	2	11	0	10	Pseudoranthemum ludovicianum	Acanthaceae
206	27	2	27	1	0	Myrianthus holstii	Moraceae
206	27	2	98	1	0	Combretum fuscum	Combretaceae
206	27	3	11	0	10	Pseudoranthemum ludovicianum	Acanthaceae
206	27	3	45	0	1	Pollia condensata	Commelinaceae
206	27	3	10	0	30	Dracaena fragrans	Asparagaceae
206	27	3	17	0	20	Acalypha neptunica	Euphobiaceae
206	27	3	54	1	0	Euphorbia teke	Euphorbiaceae
206	27	3	17	0	20	Acalypha neptunica	Euphobiaceae
206	27	3	10	1	0	Dracaena fragrans	Asparagaceae
206	27	3	36	1	0	Parvetta ternifolia	
206	27	3	55	1	0	Asplenium	
206	27	3	7	1	0	Celtis durandii	Ulmaceae
206	27	4	54	2	0	Euphorbia teke	Euphorbiaceae
206	27	4	15	3	0	Argomuellera macrophylla	Euphobiaceae
206	27	4	10	0	10	Dracaena fragrans	Asparagaceae
206	27	4	17	0	20	Acalypha neptunica	Euphobiaceae
206	27	4	36	1	0	Parvetta ternifolia	
206	27	4	37	1	0	Pulsota sp	
206	27	4	11	1	0	Pseudoranthemum ludovicianum	Acanthaceae
206	27	4	35	1	0	Leptapsis sp	
206	27	4	10	0	50	Dracaena fragrans	Asparagaceae
206	27	4	15	0	10	Argomuellera macrophylla	Euphobiaceae
206	27	4	17	0	10	Acalypha neptunica	Euphobiaceae
206	27	4	38	0	2	Pteris burtoni	Pteridaceae
206	27	4	71	1	0	Euphorbiacea sp	Euphorbiaceae
206	27	5	37	1	0	Pulsota sp	
206	27	5	10	0	10	Dracaena fragrans	Asparagaceae
206	27	5	17	0	5	Acalypha neptunica	Euphobiaceae
206	27	5	38	0	2	Pteris burtoni	Pteridaceae
206	27	6	17	0	30	Acalypha neptunica	Euphobiaceae
206	27	6	10	0	20	Dracaena fragrans	Asparagaceae
206	27	6	8	1	0	Markhamia lutea	Bignoniaceae
206	28	0	21	1	0	Alstonia boonei	Apocynaceae
206	28	0	2	5	0	Celtis mildbreadii	Ulmaceae
206	28	0	9	2	0	Funtumia elastica	Apocynaceae
206	28	0	5	2	0	Diospyros abyssinica	Ebenaceae
206	28	0	67	1	0	Ficus asperifolia	Moraceae
206	28	0	1	1	0	Albizia gumiifera	Leguminosae
206	28	0	25	4	0	Celtis wightii	Ulmaceae
206	28	0	93	1	0	Lovoa trichiloides	Meliaceae
206	28	1	17	0	10	Acalypha neptunica	Euphobiaceae
206	28	1	15	0	10	Argomuellera macrophylla	Euphobiaceae
206	28	1	35	1	0	Leptapsis sp	
206	28	1	11	0	10	Pseudoranthemum ludovicianum	Acanthaceae
206	28	1	10	0	5	Dracaena fragrans	Asparagaceae
206	28	2	11	0	40	Pseudoranthemum ludovicianum	Acanthaceae
206	28	2	10	0	30	Dracaena fragrans	Asparagaceae
206	28	2	17	0	20	Acalypha neptunica	Euphobiaceae
206	28	2	5	1	0	Diospyros abyssinica	Ebenaceae
206	28	2	16	1	0	Culcasia falcifolia	Araceae
206	28	2	35	0	2	Leptapsis sp	
206	28	2	45	1	0	Pollia condensata	Commelinaceae
206	28	3	85	1	0	Reneria congrana	
206	28	3	16	1	0	Culcasia falcifolia	Araceae
206	28	3	11	0	30	Pseudoranthemum ludovicianum	Acanthaceae
206	28	3	10	0	10	Dracaena fragrans	Asparagaceae
206	28	3	17	0	20	Acalypha neptunica	Euphobiaceae
206	28	4	11	0	50	Pseudoranthemum ludovicianum	Acanthaceae
206	28	4	10	0	5	Dracaena fragrans	Asparagaceae
206	28	4	17	0	30	Acalypha neptunica	Euphobiaceae
206	28	5	8	1	0	Markhamia lutea	Bignoniaceae
206	28	5	2	1	0	Celtis mildbreadii	Ulmaceae
206	28	5	11	0	50	Pseudoranthemum ludovicianum	Acanthaceae
206	28	5	15	5	0	Argomuellera macrophylla	Euphobiaceae
206	28	5	10	0	5	Dracaena fragrans	Asparagaceae
206	30	0	25	2	0	Celtis wightii	Ulmaceae
206	30	0	6	1	0	Bilghia unijugata	Sapindaceae
206	30	0	91	1	0	Oncoba spinosa	Salicaceae
206	30	0	23	2	0	Ficus sur	Moraceae
206	30	0	92	1	0	Croton megalocarpus	Euphorbiaceae
206	30	0	25	1	0	Celtis wightii	Ulmaceae
206	30	0	93	1	0	Lovoa trichiloides	Meliaceae
206	30	1	94	0	20	Maranthocloa purpulea	Marantaceae
206	30	1	10	0	10	Dracaena fragrans	Asparagaceae
206	30	1	91	1	0	Oncoba spinosa	Salicaceae
206	30	1	11	0	10	Pseudoranthemum ludovicianum	Acanthaceae
206	30	1	25	1	0	Celtis wightii	Ulmaceae
206	30	1	17	0	10	Acalypha neptunica	Euphobiaceae
206	30	1	23	1	0	Ficus sur	Moraceae
206	30	1	37	1	0	Pulsota sp	
206	30	1	55	0	10	Asplenium	
206	30	2	4	1	0	Malnilkara dawei	Sapotaceae
206	30	2	16	0	1	Culcasia falcifolia	Araceae
